"ensembl_gene_id","logFC","logCPM","F","PValue","FDR","entrezgene_id","external_gene_name"
"ENSMUSG00000000563",1.45299152749535,7.86674654419413,187.998943146695,1.04380700606395e-16,5.99925440858976e-16,11950,"Atp5pb"
"ENSMUSG00000000568",-0.581593796627581,7.36116008995724,30.4888018644066,2.2182668258098e-06,4.09803189573304e-06,11991,"Hnrnpd"
"ENSMUSG00000000581",0.933800304937639,6.0577088437834,24.698877699821,1.30304414422288e-05,2.24714230091442e-05,57316,"C1d"
"ENSMUSG00000000594",1.2256379123553,6.77501102926447,72.9207937810939,1.48807004845764e-10,4.03196122653523e-10,14667,"Gm2a"
"ENSMUSG00000000600",-1.54807887565967,6.63865100937756,214.88309669713,1.11095887045008e-17,7.27056917006374e-17,79264,"Krit1"
"ENSMUSG00000000605",1.26526857726529,7.46834744757884,117.751515569663,1.73275019846458e-13,6.53658472658351e-13,12727,"Clcn4"
"ENSMUSG00000000627",1.28003180959224,3.77600871213641,8.61458788496006,0.00550459394562378,0.0073831916174802,20355,"Sema4f"
"ENSMUSG00000000631",-2.0744249742701,5.27265493663856,179.243536939158,2.29382765845151e-16,1.26922651960348e-15,360013,"Myo18a"
"ENSMUSG00000000682",-0.173073304504468,10.5403639934855,8.27045360650113,0.00642925751607573,0.00855730415589962,23833,"Cd52"
"ENSMUSG00000000686",7.17726591288333,2.39329688058587,16.1257546410967,0.000269476266716451,0.000409735143068571,67477,"Abhd15"
"ENSMUSG00000000708",-2.24222133927967,4.22547275551304,99.0495089654305,2.21097651813345e-12,7.31658206743871e-12,18519,"Kat2b"
"ENSMUSG00000000711",-0.428358167360729,4.47481583393898,2.80321728804897,0.101877157653516,0.119303207030335,19344,"Rab5b"
"ENSMUSG00000000732",0.048366211471792,4.1279236045348,0.0245340924349177,0.876321602162564,0.889170383331581,50723,"Icosl"
"ENSMUSG00000000738",0.688076746855337,6.83358098508384,27.4573527101674,5.49246352357864e-06,9.79178614595168e-06,234847,"Spg7"
"ENSMUSG00000000740",-1.09393144703333,9.44512131756717,289.501943725288,6.40351137483711e-20,5.77839326000719e-19,270106,"Rpl13"
"ENSMUSG00000000743",1.51146227038555,8.3916327912791,268.946659073618,2.33314052427812e-19,1.94119078413678e-18,234852,"Chmp1a"
"ENSMUSG00000000751",2.45530070748131,7.87299516326891,388.539574331813,3.288875927424e-22,4.04377758087354e-21,68275,"Rpa1"
"ENSMUSG00000000759",-0.0741789915970262,5.84497333581593,0.218493171643452,0.642726479040668,0.672606988692604,259279,"Tubgcp3"
"ENSMUSG00000000776",0.283069876750112,5.3673695903125,1.65188142034956,0.206093876248964,0.232391663606946,67065,"Polr3d"
"ENSMUSG00000000782",1.71278927320733,8.55413621358684,351.179511082642,2.04806410828223e-21,2.2521888560861e-20,21414,"Tcf7"
"ENSMUSG00000000787",-2.66133121748212,7.18071475480053,890.590832090788,5.8734285370781e-29,1.97231655989357e-27,13205,"Ddx3x"
"ENSMUSG00000000791",1.78493476256687,7.55949422206287,212.736665451471,1.31698225642439e-17,8.51011499703385e-17,16161,"Il12rb1"
"ENSMUSG00000000804",-2.30779017007578,3.40709385129784,65.1424009949694,6.32652157040835e-10,1.61305038397118e-09,237898,"Usp32"
"ENSMUSG00000000811",0.195740098144631,3.21953770139673,0.203918126944045,0.654019575914576,0.683238320738177,232223,"Txnrd3"
"ENSMUSG00000000817",2.55919893422015,7.74845460387934,392.097724361559,2.78699451707857e-22,3.45155959418606e-21,14103,"Fasl"
"ENSMUSG00000000823",0.212235311042077,4.86128750974999,0.729928817885689,0.3979937099128,0.431075674378902,269401,"Zfp512b"
"ENSMUSG00000000826",-0.733544113104266,6.93496553897515,50.0539261421692,1.47373833497709e-08,3.31445499052159e-08,13002,"Dnajc5"
"ENSMUSG00000000827",1.26517056367072,5.98563048047984,43.0366909493179,7.71364506685072e-08,1.62330231630727e-07,66314,"Tpd52l2"
"ENSMUSG00000000838",-2.20600463335921,4.61789998013556,121.524897337341,1.07598361724565e-13,4.17432735145074e-13,14265,"Fmr1"
"ENSMUSG00000000869",4.9471991355477,5.6989422153001,150.815726776662,2.0818266688629e-15,1.01100373364124e-14,16189,"Il4"
"ENSMUSG00000000876",1.08235228663483,5.19102630455502,18.2327220168253,0.000116905930214487,0.00018398133639471,59038,"Pxmp4"
"ENSMUSG00000000881",-0.60282287405069,2.65165285281356,1.6284817477244,0.209284852605511,0.235808081450566,53310,"Dlg3"
"ENSMUSG00000000884",1.46488976828211,4.33847710265976,16.3407510828605,0.000234444171752072,0.000359027692446877,13972,"Gnb1l"
"ENSMUSG00000000901",3.49148583524543,3.40988589147824,20.9804082916056,3.87752777422272e-05,6.37355793028231e-05,17385,"Mmp11"
"ENSMUSG00000000902",0.809716603134998,6.68254505326007,32.8868779152043,1.11457580206316e-06,2.11437032130597e-06,20587,"Smarcb1"
"ENSMUSG00000000915",-0.543162362381089,5.43082742813839,9.95080696885311,0.00304841495113718,0.00419930947270303,29816,"Hip1r"
"ENSMUSG00000000916",2.89614138041374,5.65587153363869,100.155611189471,1.92217000174739e-12,6.38976473803856e-12,100609,"Nsun5"
"ENSMUSG00000000934",1.32416859904112,3.92675690942685,10.4296427736294,0.00248219864566197,0.00344948148288601,72960,"Top1mt"
"ENSMUSG00000000959",-0.538343118403521,5.47532728929356,8.90201126228516,0.00483647715589799,0.00653930020207356,69089,"Oxa1l"
"ENSMUSG00000000976",-0.758137603197691,5.58381705015772,19.6371611266418,7.09695933542754e-05,0.000113965283025163,217026,"Heatr6"
"ENSMUSG00000001016",0.703344476420096,6.63518462207207,26.7649413794376,6.79772804242285e-06,1.2020430008718e-05,67781,"Ilf2"
"ENSMUSG00000001017",-0.427010988941554,7.04675987802852,17.4640756787109,0.000154443117830847,0.000240396111371359,66511,"Chtop"
"ENSMUSG00000001018",3.30054583329765,6.68091891751295,233.777971836199,2.68421842724534e-18,1.92519363668394e-17,20615,"Snapin"
"ENSMUSG00000001020",-4.61802352187134,3.77663907159161,395.191942738665,2.42343001990867e-22,3.01955842626577e-21,20198,"S100a4"
"ENSMUSG00000001025",-2.02769323553721,5.96470387873168,251.215390152575,7.64369287349199e-19,5.89508301282417e-18,20200,"S100a6"
"ENSMUSG00000001029",0.861437665748098,6.58459937256011,37.110879028619,3.5075635466549e-07,6.94863942840223e-07,15896,"Icam2"
"ENSMUSG00000001034",4.46556382644982,4.8620556690862,73.6067151508409,8.14549729239267e-11,2.27319300459634e-10,23939,"Mapk7"
"ENSMUSG00000001052",-0.239692961024581,5.26245569822604,1.08982424326722,0.302777199970031,0.333660865299447,99683,"Sec24b"
"ENSMUSG00000001053",1.77784512655462,3.84410403796348,12.9591429404218,0.000866294044616085,0.00125959449246989,212706,"N4bp3"
"ENSMUSG00000001054",2.64011559706594,6.93176097539839,226.836663631547,4.43581989005911e-18,3.09480022574832e-17,66089,"Rmnd5b"
"ENSMUSG00000001056",1.94690848538101,6.31405943737844,93.2195375477148,5.25726612028887e-12,1.65422180043007e-11,52530,"Nhp2"
"ENSMUSG00000001062",0.34775640130905,5.03394329849925,2.01935822378659,0.163053201051313,0.186299741763448,72325,"Vps9d1"
"ENSMUSG00000001065",3.3222984897375,5.54370692808514,110.089578426587,4.75401058974579e-13,1.70904094279314e-12,57247,"Zfp276"
"ENSMUSG00000001082",1.43402636622768,6.49604372970915,80.1576464000529,4.23165224450964e-11,1.21845887793837e-10,68294,"Mfsd10"
"ENSMUSG00000001089",-2.5248823443142,3.85885036014316,109.45551924117,5.15297112755493e-13,1.8440506739489e-12,269593,"Luzp1"
"ENSMUSG00000001098",5.01960859244742,6.30375909341902,241.140382801767,1.12170888279116e-18,8.44745763054928e-18,330171,"Kctd10"
"ENSMUSG00000001100",2.40904054195579,5.76111539911196,92.0044566070633,6.3784362340806e-12,1.99170560699553e-11,67811,"Poldip2"
"ENSMUSG00000001105",-1.32156952653282,6.16867964327587,115.360542732913,2.35752767787115e-13,8.75799727122101e-13,55978,"Ift20"
"ENSMUSG00000001120",1.43866010654724,3.19042985032593,6.6619669401802,0.0135865141782449,0.0174771512451123,59093,"Pcbp3"
"ENSMUSG00000001123",1.94507582124133,8.72382659260879,441.237959606623,3.21331391267889e-23,4.46550354052336e-22,16859,"Lgals9"
"ENSMUSG00000001127",1.2680059798039,7.6786349427123,107.240432269224,6.96230322975273e-13,2.44707994780808e-12,11836,"Araf"
