"","logFC","logCPM","F","PValue","FDR"
"ENSMUSG00000102863.2",-5.3346338610452,0.864595821142243,66.8217312776436,3.15151701684183e-10,8.27000699115911e-10
"ENSMUSG00000036561.10",-1.72645493394993,4.41408333972688,68.7965041862428,3.16303062417001e-10,8.29809417334765e-10
"ENSMUSG00000030811.15",-4.52517621480747,1.39331747827656,68.6297355181281,3.17083356884409e-10,8.31643467659441e-10
"ENSMUSG00000021840.18",-2.04890146281857,4.06449519888708,68.750960675312,3.1901872134002e-10,8.36438874816991e-10
"ENSMUSG00000106870.2",-5.41567914500012,1.12178246394011,67.2970272239811,3.19075052129465e-10,8.36438874816991e-10
"ENSMUSG00000020228.12",-2.30461689025244,3.41105518373554,68.7131622903015,3.21384550981632e-10,8.42277525883796e-10
"ENSMUSG00000055480.8",-4.69145285155244,1.15312695192672,68.1696737983745,3.23647078592541e-10,8.47990119965413e-10
"ENSMUSG00000024862.17",-2.84810713138204,2.57181949983788,68.5372938038361,3.32648498973011e-10,8.7112910418859e-10
"ENSMUSG00000027939.12",-3.82059643166011,1.61788039874215,68.5110588386581,3.38046066134839e-10,8.85037783576949e-10
"ENSMUSG00000053329.8",-1.90142338225198,4.05324841310234,68.3840158388411,3.4165467216373e-10,8.94028398646124e-10
"ENSMUSG00000054405.15",-0.654435975407603,8.23663251589379,68.335805449325,3.44661980811952e-10,9.01437182705826e-10
"ENSMUSG00000060586.12",-2.03049586897629,3.81764061288417,68.2141132631931,3.52724988255938e-10,9.22054448626165e-10
"ENSMUSG00000024143.16",-2.21352612343271,3.54476212912411,68.175172707452,3.55354947874339e-10,9.28692364411581e-10
"ENSMUSG00000032407.15",-0.793299951401171,7.22627372643528,68.148239813627,3.56988881034152e-10,9.32611743017304e-10
"ENSMUSG00000015937.16",-0.671950050821923,8.01756025114405,68.0720007823905,3.6212776782183e-10,9.45186696745969e-10
"ENSMUSG00000026358.14",-0.936639520669206,6.64573893577473,67.9311729312116,3.71833072760186e-10,9.69777013295091e-10
"ENSMUSG00000036450.5",-1.35644062447734,5.53317022178321,67.8963353486911,3.7429107456726e-10,9.75939202066668e-10
