"","logFC","logCPM","F","PValue","FDR"
"ENSMUSG00000090963.3",7.41919326746014,2.60921330492962,18.6336578593833,0.000109136504330169,0.000172124434454818
"ENSMUSG00000048440.17",1.22914230789549,5.16476145081227,18.3929036254226,0.000110380308761594,0.000174032500359644
"ENSMUSG00000096606.3",2.65442255016934,3.55005853730185,18.1811992171537,0.000113122513382107,0.000178218855877486
"ENSMUSG00000002845.15",1.74459901266107,4.20136804384382,18.3270221170887,0.00011314908194028,0.000178233297021278
"ENSMUSG00000031226.14",0.740143689298886,6.09125919209605,18.3033157887302,0.000113940167182414,0.000179424230055701
"ENSMUSG00000070520.5",1.3517156020565,4.79372114253376,18.291467368449,0.000114570713199793,0.000180389430375447
"ENSMUSG00000000876.12",1.08235228663483,5.19102630455502,18.2327220168253,0.000116905930214487,0.00018398133639471
"ENSMUSG00000038502.18",1.74260767351961,4.30653776656367,18.2273764221723,0.000117344054666148,0.0001846424654925
"ENSMUSG00000020491.16",1.79663214834994,4.12891955633348,18.2158206638454,0.000117650120343574,0.000185095627121181
"ENSMUSG00000062937.8",0.743288207961413,6.07805304790688,18.207021344745,0.000117957346056309,0.00018555047432172
"ENSMUSG00000047669.9",2.04550248912058,3.92699458531352,18.1748141391286,0.0001185131488659,0.000186396141075637
"ENSMUSG00000023330.13",1.63792083814498,4.31155398630391,18.1995537098245,0.000118560382596702,0.000186441799256167
"ENSMUSG00000020889.12",1.06194783511475,5.13395976848456,18.1840964734505,0.000118974314092745,0.000187064004442416
"ENSMUSG00000053291.16",3.30873192431803,3.24125184324018,17.864409296016,0.000119577860152601,0.000187955255322735
"ENSMUSG00000031585.14",0.959997247438938,5.37745321130567,18.1598105222314,0.000119999444801808,0.000188588969412325
"ENSMUSG00000039231.19",1.13365521771429,5.16172137020084,18.1590438014612,0.000120056932167615,0.000188650368097685
"ENSMUSG00000020812.20",3.98208959379779,2.97971970412134,17.9682310230898,0.00012031302794487,0.00018902378159401
"ENSMUSG00000003604.15",1.1860194900192,5.1266449467761,18.1313641894436,0.000121269812044239,0.00019049776303023
"ENSMUSG00000041426.13",1.30345876404458,4.6944938248334,18.1017654786155,0.000122689238563073,0.000192697926907375
"ENSMUSG00000044367.8",3.96498616873816,2.9685431709586,17.9142107585164,0.000122726371851021,0.000192726694341943
"ENSMUSG00000022680.15",0.946054277628537,5.75171188671252,18.0420182574219,0.000125198864575725,0.000196519045361621
"ENSMUSG00000035891.17",0.664758067788307,6.24232063214063,18.0311152963764,0.000125684234970771,0.000197250679523542
"ENSMUSG00000058486.12",1.1863691640011,4.90828788571558,18.0152703159256,0.000126496719451265,0.0001984649817126
"ENSMUSG00000026035.16",1.15759718565326,5.10505689923186,18.0037264799847,0.000126990007568414,0.000199208402131368
"ENSMUSG00000053536.8",0.842149472300965,5.76657775647179,17.998885342492,0.000127163902909963,0.000199450642205795
"ENSMUSG00000031059.10",0.57217510386894,6.59600791187988,17.9685971683618,0.000128556374959656,0.000201572932078505
"ENSMUSG00000031575.19",0.573618168241407,6.70763687708134,17.952599475276,0.000129302566025357,0.000202649867059175
"ENSMUSG00000055692.22",0.784160463727138,5.85562472782891,17.8613343874248,0.000133655965218043,0.000209376628290485
"ENSMUSG00000055491.15",0.984949216673202,5.42736728749281,17.8455411719657,0.000134439436338988,0.00021057175515888
"ENSMUSG00000018930.4",4.05537857570168,3.04676365605949,17.6637724254006,0.000134593590511966,0.000210684327376365
"ENSMUSG00000074918.5",0.902584015146392,5.71707125443628,17.8203089633894,0.000135664574727259,0.000212295886074344
"ENSMUSG00000018166.9",3.30798308928802,3.24034020730069,17.5063399783659,0.000136666225671444,0.000213830657397942
"ENSMUSG00000030876.8",1.1095184399471,5.14403544849725,17.7857670667996,0.000137416049344977,0.00021497100616943
"ENSMUSG00000036327.19",2.16042686014486,3.84779328642498,17.7474166311926,0.000137663796666787,0.000215325688066774
"ENSMUSG00000036553.17",7.4467449021253,2.63526247414978,17.9467071605226,0.000139153330605291,0.000217603863184554
